"","estado","ecotonos","savana","floresta","natural","lucc","composicao","map","cv","msi","area","sd","iqr","flo","sav","ihh","ih"
"14","MT",91,0.1327029,0.4321643,0.5644137,0.4351329,"S/Fe",1747.19139263437,0.128705485861526,0.584061939384174,0.19148744269,24.65272,20,0.765687119217694,0.23511636942902,0.530570749788674,0.469429250211326
"15","TO",103,0.3335648,0.2813153,0.6148801,0.3851199,"S/Fe",1592.27257519799,0.162317598081817,0.596190802996299,0.33666796555,33.54616,54,0.457512448361884,0.542487551638116,0.0849751032762322,0.915024896723768
"16","MA",125,0.1616262,0.7839332,0.9455594,0.0544406,"S/Fe",1109.80263099155,0.204390514640541,0.579090175584572,0.32324805808,21.39506,15,0.829068168536001,0.170931831463999,0.658136337072002,0.341863662927998
"17","MA",145,0.3186637,0.4298697,0.7485334,0.2514666,"S/Fe",1672.7617471798,0.229163850522283,0.602619889617519,0.12417257836,22.16559,6,0.574282590462897,0.425717409537103,0.148565180925794,0.851434819074206
"18","TO",117,0.4939212,0.1824778,0.6763991,0.3236009,"S/Fe",1683.81103440878,0.126220305863155,0.514217968310756,0.10089293328,0.4671857,1,0.269778301006018,0.730221551152271,0.460443250146252,0.539556749853748
"19","TO",119,0.5260634,0.3298736,0.855937,0.144063,"S/Fe",1646.25358942554,0.131447480336623,0.551766780926499,0.69235095228,31.20259,35,0.385394719471176,0.614605280528824,0.229210561057648,0.770789438942352
"20","MT",43,0.3712289,0.3702124,0.7414414,0.2585586,"S/Fe",1578.47780384889,0.0825124796469427,0.486192206232672,0.17633179977,24.87988,45,0.499314443461075,0.5006854216665,0.0013709782054252,0.998629021794575
"21","MT",44,0.08975009,0.5430275,0.6327776,0.3672224,"S/Fe",1373.08612113386,0.0913217679714534,0.489548450954633,0.09548316143,28.97527,22,0.858164859185913,0.141835125010746,0.716329734175167,0.283670265824833
"22","MT",46,0.4413534,0.4205905,0.8619438,0.1380562,"S/Fe",1950.95328486932,0.099610897684792,0.511513948579865,0.22948431442,20.37874,34,0.487955827282475,0.51204428873437,0.0240884614518951,0.975911538548105
"23","MT",63,0.06517507,0.6342692,0.6994443,0.3005557,"S/Fe",1840.2325547708,0.106351435775242,0.549147685235269,0.8512213122,20.38671,10,0.906818741678215,0.0931812154305925,0.813637526247623,0.186362473752377
"24","MT",67,0.5038869,0.1961817,0.7000686,0.2999314,"S/Fe",1574.82965216766,0.108073518624466,0.492097191066902,0.17533645254,37.0926,79,0.280232108681921,0.719767891318079,0.439535782636159,0.560464217363841
"25","MT",70,0,0.7610239,0.7610239,0.2389761,"S/Fe",1998.42109503617,0.105815065633597,0.519378040123183,0.24242092477,12.48103,3,1,0,1,0
"26","MT",82,0.4004346,0.174061,0.5744956,0.4255044,"S/Fe",1698.3257216054,0.0953585915195294,0.554619506975674,0.06437505771,35.93247,78,0.302980562427284,0.697019437572716,0.394038875145432,0.605961124854568
"27","MT",90,0.4287091,0.09526316,0.5239723,0.4760277,"S/Fe",1617.68286856445,0.141829135260482,0.594358153696405,0.33609437544,29.49522,45,0.181809534587993,0.818190389072094,0.636380854484102,0.363619145515898
"28","MT",93,0.4112776,0.1220535,0.5333311,0.4666689,"S/Fe",1545.77463040803,0.121586273574507,0.583184137153489,0.1013405422,29.98825,39,0.228851270814697,0.771148729185304,0.542297458370607,0.457702541629393
"29","MT",188,0,0.9397787,0.9397787,0.0602213,"S/Fe",2296.7956491306,0.0954757213579057,0.479852744947418,2.12171034348,6.312282,1,1,0,1,0
"30","MT",199,0.3968012,0.231705,0.6285062,0.3714938,"S/Fe",1756.98751891626,0.113171722158788,0.565141621839765,0.16423742943,37.60191,77,0.368659847746928,0.631340152253072,0.262680304506145,0.737319695493855
"31","MT",56,0,0.7810121,0.7810121,0.2189879,"S/Fe",2166.24807790808,0.0963422849996886,0.503052273051504,1.08934877125,10.68184,3,1,0,1,0
"32","MT",80,0.437313,0.2360552,0.6733683,0.3266317,"S/Fe",1549.56039933256,0.0975504331599891,0.538501207710888,0.18504446517,35.79928,77,0.35055882494023,0.649441026552631,0.298882201612401,0.701117798387598
"33","MT",101,0.1461422,0.2514576,0.3975998,0.6024002,"S/Fe",1555.60239961985,0.137625987414336,0.608885452919091,0.19397380848,34.3211,50,0.632438949918989,0.367561050081011,0.264877899837978,0.735122100162022
"34","RO",35,0,0.7243025,0.7243025,0.2756975,"S/Fe",1924.7501414531,0.0736285171344047,0.494865623109301,0.04067653998,15.10422,10,1,0,1,0
